Name,Age,Season,Placement,DaysIn,VotesAgainst,Immunities,IndImmunities,Challenges,VFB_NIF3,TCA_NIF3,TCTotal,TC_Prop,TC_Pct,TC_Score_Prop,TC_Score,Idols,Merge,Jury,Final_Tribal,RunnerUp,Winner,JuryVotes,Prop_Jury_Vote,Pct_Jury_Vote,Job,JobFixed,AppStatus,Applicant,Recruit,Collar,BlueCollar,WhiteCollar,Strength,Generation,Gender,AgeGroup
Jaime Dugan,22,15,10,21,7,2,0,3,4,5,13,0.8,80,0.307692308,30.7692308,0,1,1,0,0,0,.,.,.,Student,41,0,0,1,1,0,1,2,4,0,2
JeanRobert Bellande,36,15,9,24,12,4,0,8,3,4,13,0.75,75,0.230769231,23.0769231,0,1,1,0,0,0,.,.,.,PokerPlayer,19,0,0,1,2,0,0,1,3,1,3
Frosti Zernow,20,15,8,27,7,3,1,6,6,7,13,0.857142857,85.7142857,0.461538462,46.1538462,0,1,1,0,0,0,.,.,.,Student,41,0,0,1,2,0,0,3,4,1,2
James Clement,30,15,7,30,9,4,0,7,4,6,13,0.666666667,66.6666667,0.307692308,30.7692308,1,1,1,0,0,0,.,.,.,Gravedigger,6,0,0,1,2,0,0,3,3,1,3
Erik Huffman,26,15,6,33,5,3,1,5,6,9,13,0.666666667,66.6666667,0.461538462,46.1538462,0,1,1,0,0,0,.,.,.,Musician,28,0,0,1,2,0,0,2,4,1,2
PeihGee Law,29,15,5,36,8,4,2,8,5,10,13,0.5,50,0.384615385,38.4615385,0,1,1,0,0,0,.,.,.,Jeweler,4,0,0,1,2,0,0,1,3,0,2
Denise Martin,40,15,4,38,3,4,0,9,7,9,13,0.777777778,77.7777778,0.538461538,53.8461538,0,1,1,0,0,0,.,.,.,SchoolLunchLady,15,0.5,0,0,3,1,0,2,2,0,4
Amanda Kimmel,22,15,3,39,0,6,2,12,9,9,13,1,100,0.692307692,69.2307692,1,1,0,1,1,0,1,0.142857143,14.2857143,HikingGuide,29,1,1,0,2,0,0,1,4,0,2
Courtney Yates,26,15,2,39,0,5,1,9,7,9,13,0.777777778,77.7777778,0.538461538,53.8461538,0,1,0,1,1,0,2,0.285714286,28.5714286,Waitress,15,0,0,1,2,0,0,1,4,0,2
Todd Herzog,22,15,1,39,5,4,0,8,9,9,13,1,100,0.692307692,69.2307692,1,1,0,1,0,1,4,0.571428571,57.1428571,FlightAttendant,15,1,1,0,3,1,0,1,4,1,2
2Jon Dalton,33,16,20,3,9,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,.,.,.,ArtConsulant,4,0,0,1,1,0,1,1,3,1,3
Mary Sartain,29,16,19,6,6,1,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,.,.,.,RealEstateManager,31,1,1,0,1,0,1,2,3,0,2
2Yau-Man Chan,55,16,18,8,6,2,1,3,1,2,14,0.5,50,0.071428571,7.1428571,0,0,0,0,0,0,.,.,.,ComputerEngineer,8,0,0,1,1,0,1,1,2,1,5
Mikey Bortone,34,16,17,11,6,2,0,2,0,2,14,0,0,0,0,0,0,0,0,0,0,.,.,.,AspiringWriter,20,1,1,0,2,0,0,1,3,1,3
Joel Anderson,32,16,16,14,6,2,0,2,1,3,14,0.333333333,33.3333333,0.071428571,7.1428571,0,0,0,0,0,0,.,.,.,Firefighter,6,1,1,0,3,1,0,3,3,1,3
2Jonathan Penner,45,16,15,15,0,3,0,7,1,2,14,0.5,50,0.071428571,7.1428571,0,0,0,0,0,0,.,.,.,Writer,20,0,0,1,2,0,0,1,2,1,4
Chet Welch,48,16,14,17,12,2,0,2,3,4,14,0.75,75,0.214285714,21.4285714,0,0,0,0,0,0,.,.,.,PageantCoach,10,0,0,1,2,0,0,2,2,1,4
Kathy Sleckman,45,16,13,19,0,5,1,7,2,2,14,1,100,0.142857143,14.2857143,0,0,0,0,0,0,.,.,.,GolfCourseVendor,33,1,1,0,3,1,0,1,2,0,4
Tracy Hughes Wolf,43,16,12,20,7,2,0,3,3,5,14,0.6,60,0.214285714,21.4285714,0,0,0,0,0,0,.,.,.,ResidentialBuilder,7,1,1,0,3,1,0,2,2,0,4
2Ami Cusack,34,16,11,21,4,2,0,5,4,6,14,0.666666667,66.6666667,0.285714286,28.5714286,0,0,0,0,0,0,.,.,.,Nanny,14,0,0,1,2,0,0,2,3,0,3
